,caderaDer_x,caderaDer_y,caderaDer_z,pieDer_x,pieDer_y,pieDer_z,pieIzq_x,pieIzq_y,pieIzq_z,rodillaDer_x,rodillaDer_y,rodillaDer_z,rodillaIzq_x,rodillaIzq_y,rodillaIzq_z,caderaIzq_x,caderaIzq_y,caderaIzq_z
70,-54.646,44.647,767.41,-18.402,-229.07,139.6,19.165,85.371,103.43,-22.466,-100.23,432.39,35.968,-0.51588,437.91,70.795,22.907,755.01
71,-55.752,41.264,766.41,-17.872,-229.55,139.98,18.966,84.058,104.42,-23.962,-101.08,433.29,36.548,-0.25489,438.07,68.344,24.594,754.29
72,-57.317,39.822,765,-17.534,-229.7,139.56,18.352,83.837,103.99,-25.641,-100.26,433.49,36.704,-0.98232,437.71,64.812,22.976,751.56
73,-58.14,39.285,763.26,-16.979,-229.71,138.74,18.075,82.949,104.36,-25.863,-100.02,432.4,35.623,-1.4316,437.54,63.068,21.375,748.35
74,-60.461,36.977,762.33,-15.734,-229.72,137.77,17.733,84.344,103.37,-25.058,-100.72,431.17,34.369,-2.6002,436.66,63.108,18.6,745.55
75,-62.356,36.499,761.2,-13.791,-230.1,136.53,17.248,86.199,102.64,-23.936,-100,430.06,33.104,-5.3166,435.75,64.641,20.569,743.64
76,-62.831,34.434,760.27,-12.089,-229.58,135.36,16.558,87.077,101.98,-22.302,-100.24,430.06,32.027,-7.9689,436.98,66.033,17.287,742.01
77,-60.986,33.821,758.77,-10.623,-229.5,134.92,16.206,87.802,101.66,-20.976,-100.35,430.69,30.635,-9.492,437.45,67.692,17.097,740.71
78,-59.246,32.761,758.6,-10.663,-229.74,135.4,15.85,87.577,101.91,-20.456,-101.19,432.45,30.11,-8.519,439.05,68.681,16.335,740.67
79,-59.493,34.908,759.22,-12.026,-230.33,136.51,15.925,88.818,101.83,-21.546,-101.28,433.75,30.375,-6.4272,438.33,68.932,19.628,741.53
80,-59.894,36.914,760.74,-14.325,-230.17,137.72,16.124,89.429,101.76,-22.832,-100.92,434.83,30.791,-5.27,437.34,69.393,23.452,741.72
81,-59.478,37.547,760.67,-15.331,-229.11,137.79,15.99,89.516,101.89,-23.715,-100.5,434.64,29.657,-4.4438,436.35,68.671,23.222,740.93
82,-57.857,35.561,759.63,-15.139,-228.7,137.33,15.649,88.672,101.82,-22.157,-102.49,434.63,27.951,-3.8995,434.6,67.571,24.278,739.81
83,-57.399,37.51,758.35,-14.57,-228.39,136.73,15.558,88.467,101.24,-20.95,-102.82,433.98,27.597,-3.0403,435.55,66.516,21.825,739.5
84,-58.411,41.73,758.43,-15.364,-228.66,137.49,15.897,88.004,101.08,-19.833,-103.07,433.73,28.738,-2.8303,436.31,67.556,24.233,740.09
85,-58.897,43.558,759.99,-16.803,-227.98,137.81,16.741,87.852,101.74,-21.152,-100.74,433.61,29.852,-1.3791,437.49,69.515,24.599,741.38
86,-55.703,35.158,761.69,-17.967,-227.72,138.58,17.283,87.732,103.04,-22.521,-101.05,433.08,31.05,0.42267,435.9,66.858,24.631,742.58
87,-58.062,35.299,763.51,-18.387,-227.48,138.61,17.983,86.737,104.32,-23.743,-101.45,432.71,32.163,2.0604,434.92,65.749,24.399,743.28
88,-60.768,38.144,764.92,-18.094,-227.61,138.68,18.314,86.405,104.72,-23.993,-102.21,432.02,33.922,1.2265,434.05,65.916,29.06,744.24
89,-66.593,45.186,766.55,-17.476,-227.43,138.32,18.332,85.79,104.59,-23.891,-101.98,431.66,34.507,0.37467,434.22,68.904,33.159,746.47
90,-65.75,40.533,767.45,-16.782,-227.27,138.07,18.351,86.326,104.43,-23.25,-102.52,431.95,34.848,-0.16065,434.72,70.912,31.295,748.66
91,-66.589,38.859,767.91,-16.373,-227.25,138.35,18.155,86.081,104.58,-22.733,-104.19,432.82,34.823,-0.37003,435.41,70.314,24.546,748.79
92,-65.884,41.88,766.63,-16.174,-227.78,138.51,18.197,86.042,104.81,-22.02,-106.44,435.52,34.623,-1.2779,436.18,70.746,21.771,745.19
93,-58.545,32.797,765.12,-15.718,-227.83,138.09,18.233,85.914,104.91,-21.484,-108.47,438.46,32.369,-2.2693,435.74,70.868,24.747,740.25
94,-52.671,23.818,764.04,-15.363,-227.85,137.41,18.119,86.012,104.8,-20.696,-111.73,441.17,29.192,1.4623,432.9,66.833,22.21,739.11
95,-47.773,12.285,763.37,-14.929,-227.17,136.47,18.052,86.255,104.79,-19.834,-114.13,440.83,26.656,6.2612,430.31,62.965,18.314,739.98
96,-51.825,18.978,763,-14.864,-227.43,136.88,17.692,86.944,104.64,-20.248,-114.37,437.63,28.449,6.3368,429.97,60.981,18.337,741.84
97,-53.369,23.43,762.48,-15.21,-227.63,137.58,17.206,88.034,104.03,-21.869,-111.13,435.09,30.7,2.8575,432.21,63.758,22.531,741.44
98,-56.213,29.095,762.87,-15.991,-228.09,138.54,16.847,88.791,103.35,-23.757,-107.5,434.63,32.338,-0.71815,434.63,65.852,27.918,741.24
99,-56.526,27.871,762.83,-16.566,-227.63,138.41,16.588,89.154,102.81,-24.97,-104.97,435.28,30.945,0.54797,434.55,64.814,29.579,741.2
100,-57.222,27.326,762.06,-16.866,-227.26,137.94,16.835,89.228,103.09,-24.755,-104.39,435.66,30.287,1.2494,433.86,63.346,31.71,740.64
101,-57.615,27.868,761.46,-16.866,-226.99,137.38,16.936,89.198,103.68,-24.61,-104.07,435.5,30.068,1.2062,432.85,62.767,32.21,740.39
102,-57.788,30.33,760.82,-17.501,-226.69,137.24,16.907,89.482,103.66,-23.483,-104.29,436.42,30.355,1.4804,433.33,63.463,31.277,740.26
103,-58.467,33.093,761.13,-17.944,-226.1,137.25,16.699,89.393,103.56,-23.275,-103.87,435.71,30.375,1.95,433.99,64.407,31.594,741.02
104,-58.408,35.547,761.31,-18.74,-225.33,137.25,16.506,89.167,103.56,-22.503,-104.68,436.25,29.671,3.9914,435.21,65.031,32.081,741.69
105,-58.356,37.277,762.04,-19.089,-225.29,137.11,16.665,88.834,103.67,-22.254,-106.38,436.73,28.313,6.4611,434.45,64.456,31.763,742.53
106,-57.572,35.384,763.18,-19.51,-225.32,136.73,16.77,88.935,103.96,-21.648,-108.83,440.68,26.406,11.27,434.28,61.587,27.128,743.28
107,-54.795,30.987,763.57,-18.843,-225.45,136.45,17.106,89.266,103.7,-22.263,-110.03,442.96,25.588,11.535,433.12,60.057,23.844,742.94
108,-51.633,28.208,763.3,-18.042,-225.18,135.64,17.463,89.097,104.64,-23.139,-109.64,444.93,25.609,9.8898,433.98,62.625,28.743,739.94
109,-48.832,29.975,761.81,-17.186,-225.17,135.36,17.802,88.486,104.92,-24.477,-108.41,443.04,27.565,6.514,432.02,67.328,36.075,737.76
110,-49.125,33.963,760.77,-17.238,-224.63,134.93,18.101,87.61,105.55,-25.095,-106.52,441.6,29.145,6.0756,429.81,70.317,41.449,736.43
111,-49.896,36.242,760.3,-17.285,-224.42,135.06,18.179,87.194,105.37,-25.509,-105.93,440.37,30.478,6.9849,426.83,69.977,39.696,737.84
